target_col,feature_label,split_type,model_name,task_type,n_test_pooled,n_folds,test_spearman,test_pearson,test_r2,test_mae,test_rmse
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,ridge,regression,282,5,0.4994,0.497,0.2466,0.5719,0.9417
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6526,0.5188,0.2255,0.5239,0.9548
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,rf,regression,282,5,0.6342,0.5506,0.2909,0.507,0.9136
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,ridge,regression,282,5,0.4457,0.2852,-2.6099,1.1306,2.0614
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6204,0.5014,0.1195,0.5211,1.0181
foldchange_ABTS_activity_25C,onehot,custom,rf,regression,52,1,0.4573,0.4537,0.1928,0.6133,0.8258
foldchange_ABTS_activity_25C,onehot,custom,ridge,regression,52,1,0.4971,0.4622,0.0579,0.7319,0.8921
foldchange_ABTS_activity_25C,onehot,custom,xgboost,regression,52,1,0.5238,0.4769,0.1415,0.6998,0.8517
foldchange_ABTS_activity_25C,georgiev,custom,rf,regression,52,1,0.4742,0.4648,0.2072,0.6095,0.8184
foldchange_ABTS_activity_25C,georgiev,custom,ridge,regression,52,1,0.3932,0.3594,-0.4691,0.869,1.1141
foldchange_ABTS_activity_25C,georgiev,custom,xgboost,regression,52,1,0.5162,0.4575,0.143,0.6906,0.8509
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,rf,regression,52,1,0.4089,0.4386,-12.2464,3.0781,3.3453
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,ridge,regression,52,1,0.5106,0.5004,0.0016,0.7436,0.9184
foldchange_ABTS_activity_25C,onehot_esm2_LLR,custom,xgboost,regression,52,1,0.2573,0.3162,-9.021,2.5468,2.9097
foldchange_ABTS_activity_25C,onehot_esmc_LLR,custom,rf,regression,52,1,0.7518,0.6859,0.2173,0.6648,0.8132
